#	Карта норматив → изделие. Собрана 2026-09-10 под правки по замечаниям ОТК.
#	Источники: soder — содержание сборника (рендер страницы), pdf — титул документа
#	в normatives/, web — docs.cntd.ru / standartgost / stroyinf. Текстовый слой сканов
#	НЕ источник: он врёт (см. историю с «1320×14»).
#	Колонки: normalized_key <TAB> изделие <TAB> категория-слаг <TAB> источник
34-10-416	Сортамент труб	truby	soder
34-10-417	Соединение сварное стыковое	-	soder
34-10-418	Отвод крутоизогнутый	otvody	soder
34-10-419	Отвод сварной	otvody	soder
34-10-420	Отвод гнутый	otvody	soder
34-10-421	Труба крутоизогнутая	truby	soder
34-10-422	Переход бесшовный	perekhody	soder
34-10-423	Переход точёный	perekhody	soder
34-10-424	Переход сварной листовой	perekhody	soder
34-10-425	Фланец плоский приварной	flancy-plosk	soder
34-10-426	Фланец плоский приварной с рёбрами	flancy-plosk	soder
34-10-428	Заглушка фланцевая с соединительным выступом	zaglushki	soder
34-10-431	Кольцо подкладное	-	soder
34-10-432	Тройник равнопроходный сверлёный	troyniki	soder
34-10-433	Тройник переходный с усиленным штуцером	troyniki	soder
34-10-439	Штуцер	zaglushki	soder
34-10-508	Ответвление трубопровода	troyniki	soder
34-10-509	Штуцер для ответвлений	zaglushki	soder
34-10-510	Тройник сварной равнопроходный	troyniki	soder
34-10-511	Тройник сварной переходный	troyniki	soder
34-10-512	Тройник сварной равнопроходный с накладкой	troyniki	soder
34-10-700	Переход ТЭС	perekhody	pdf
34-10-753	Переход ТЭС	perekhody	pdf
34-10-754	Переход ТЭС	perekhody	pdf
34-10-761	Штуцер для ответвлений	zaglushki	pdf
34-10-762	Тройник сварной равнопроходный	troyniki	pdf
34-10-763	Тройник сварной равнопроходный с накладкой	troyniki	pdf
34-10-764	Тройник сварной переходный	troyniki	pdf
34-10-765	Тройник сварной переходный с накладкой	troyniki	pdf
34-42-661	Отвод гнутый	otvody	web
34-42-664	Переход точёный	perekhody	web
34-42-665	Переход сварной листовой	perekhody	web
34-42-666	Заглушка плоская приварная	zaglushki	web
34-42-669	Ответвление трубопровода	troyniki	web
34-42-670	Ответвление штуцером	zaglushki	pdf
34-42-673	Тройник точёный равнопроходный	troyniki	web
34-42-674	Тройник переходный с усиленным штуцером	troyniki	web
34-42-675	Тройник сварной равнопроходный	troyniki	web
34-42-676	Тройник сварной переходный	troyniki	web
24-125-06	Отвод крутоизогнутый	otvody	web
24-125-07	Колено штампованное	otvody	web
24-125-09	Переход штампованный	perekhody	web
24-125-11	Штуцер Dy до 50 мм	zaglushki	web
24-125-12	Штуцер	zaglushki	web
24-125-17	Тройник штампованный равнопроходный с вытянутой горловиной	troyniki	pdf
24-125-18	Тройник штампованный переходный с вытянутой горловиной	troyniki	pdf
24-125-21	Донышко	dnishcha	web
24-125-22	Бобышка	zaglushki	web
24-125-23	Пробка	zaglushki	web
24-125-57	Бобышка	zaglushki	web
504-01	Донышко приварное	dnishcha	pdf
530-01	Бобышка	zaglushki	pdf
318-01	Переход точёный	perekhody	pdf
22815-83	Заглушка фланцевая на Ру до 100 МПа	zaglushki	pdf
17379-2001	Заглушка эллиптическая	zaglushki	pdf
6533-78	Днище эллиптическое отбортованное	dnishcha	pdf
#	НЕ ПОДТВЕРЖДЕНО — нужен документ, пока не трогаем:
#	34-42-667	(по каталогу «заглушка эллиптическая», серия та же, что 666 «плоские приварные»)
#	24-125-04 / 08 / 24 / 25 / 32 / 33 / 35 / 48 / 49 / 53
