схема	категория	семейство	тип	норматив	позиций	пример
stub	zaglushki	Заглушки	ШТ	ОСТ 34.10.509-1990	44	Штуцер 18х2.5 исп. 02 08Х18Н10Т ОСТ 34.10.509-1990
tee	troyniki	Тройники	ТР	ОСТ 34-42-675-84	44	Тройник 108х6 исп. 01 Ст20 ОСТ 34-42-675-1984
tee	troyniki	Тройники	ТР	gost-22801-1983	43	Тройник 1-6х6 ГОСТ 22801-1983
bend	otvody	Отводы	КО	gost-22818-1983	41	Колено с опорой DN 6 исп. 2 PN 32 20 ГОСТ 22818-1983
flange	flancy-plosk	Фланцы		ОСТ 24.125.24-1989	41	Фланец 18х2.5 исп. 01 08Х18Н10Т ОСТ 24.125.24-1989
section	otvody	Отводы	ОГ	ОСТ 34.10.420-1990	40	Отвод 1020х10 исп. 58 08Х18Н10Т ОСТ 34.10.420-1990
reducer	perekhody	Переходы		ОСТ 34-10-424-90	38	Переход 377×12-325×12 ОСТ 34.10.424-1990
blind	zaglushki	Заглушки	ЗФ	ОСТ 34.10.428-1990	36	Заглушка 57х3 ОСТ 34.10.428-1990
pipe	truby-vgp	Трубы		gost-3262-1975	35	Труба ВГП 114,3х4 Ст3сп ГОСТ 3262-1975
reducer	perekhody	Переходы	ПС	СТО 95.119-2013	35	Переход 530×8-273×8 исп. 02 СТО 95.119-2013
reducer	perekhody	Переходы		ОСТ 24.125.09-89	34	Переход 133×14-108×12 ОСТ 24.125.09-1989
blind	zaglushki	Заглушки	ЗФ	ГОСТ 22815-1983	33	Заглушка фланцевая 4-6 ГОСТ 22815-1983
tee	troyniki	Тройники	ТР	ost-34-10-762-97	32	Тройник 76×3 ОСТ 34.10.762-1997
reducer	perekhody	Переходы	ПС	СТО СРО-П 60542948.00015-2013	32	Переход 1020х10 исп. 02 СТО СРО-П 60542948.00015-2013
bend	otvody	Отводы	ОГ	ОСТ 34-42-661-1984	30	Отвод гнутый 15° 76х3 ст.20 ОСТ 34-42-661-1984
tee	troyniki	Тройники		ОСТ 34-42-675-1984	30	Тройник 159х5 Dy150 исп. 05 ст.20 ОСТ 34-42-675-1984
stub	zaglushki	Заглушки	ШТ	ОСТ 34-42-670-1984	29	Штуцер 14х2 Dy10 исп. 001 ст.20 ОСТ 34-42-670-1984
flange	flancy-plosk	Фланцы	ФП	ОСТ 24.125.24-1989	29	Фланец 18х2.5 исп. 01 08Х18Н10Т ОСТ 24.125.24-1989
tee	troyniki	Тройники	ТР	seriya-4-903-10	28	Тройник 273×7 Dy250 СЕРИЯ 4.903-2010
reducer	perekhody	Переходы		ost-34-10-422-1990	28	Переход 76×4.5 ОСТ 34.10.422-1990
bend	otvody	Отводы	ОК	ost-34-10-418-1990	26	Отвод 133х7 ОСТ 34.10.418-1990
nut	gayki	Гайка для фланцевых соединений		ГОСТ 9064-1975	26	Гайка M10 ГОСТ 9064-75
reducer	perekhody	Переходы		ОСТ 34-10-417-90	25	Переход 14×2 ОСТ 34-10-417-90
head	zaglushki	Заглушки	ЗЭ	СТО СРО-П 60542948.00016-2013	25	Заглушка 108х4 исп. 2 СТО СРО-П 60542948.00016-2013
flange	flancy	Фланцы		ОСТ 24.125.25-89	24	Фланец ОК DN20 ОСТ 24.125.25-1989
section	otvody	Отводы	ОК	СТО 79814898 110-2009	24	Отводы  14x2,0 СТО 79814898 110-2009
nut	gayki	Гайка шестигранная низкая		ГОСТ 5916-1970	24	Гайка M1 ГОСТ 5916-70
nut	gayki	Гайка шестигранная с уменьшенным размером под ключ		ГОСТ 5927-1970	24	Гайка M1 ГОСТ 5927-70
nut	gayki	Гайка шестигранная колпачковая		ГОСТ 5929-1970	24	Гайка M1 ГОСТ 5929-70
disc	dnishcha	Днища	ДН	ost-24-125-53-1989	24	Донышко 16х2 исп. 01 ст.20 ОСТ 24.125.53-1989
bend	otvody	Отводы	ОКШ	СТО 321.04	23	Отводы 90° 134×16 исп. 01
reducer	perekhody	Переходы		ost-34-10-753-97	22	Переход 325×8 ОСТ 34.10.753-1997
reducer	perekhody	Переходы		ost-36-22-77	22	Переход 530×8-325×8 ОСТ 36-22-1977
flange	flancy-plosk	Фланцы		ost-34-10-425-90	22	Фланец ФП DN05 ОСТ 34.10.425-1990
nut	gayki	Гайка шестигранная		ГОСТ 5915-1970	22	Гайка M1.6 ГОСТ 5915-70
tee	troyniki	Тройники	ТР	ОСТ 34-10-764-97	22	Тройник 159×5 ОСТ 34.10.764-1997
reducer	perekhody	Переходы	ПК	ost-34-10-700-1997	22	Переход концентрический 57×4-45×2.5 ОСТ 34.10.700-1997
reducer	perekhody	Переходы		sto-79814898-115-2009	21	Переход 76.1×5-42.4×3.6 исп. 01 СТО 79814898.115-2009
tee	troyniki	Тройники		ОСТ 34-42-674-1984	21	Тройник переходной 18х2-14х2 исп. 01 ст.20 ОСТ 34-42-674-1984
reducer	perekhody	Переходы		ost-34-42-665-1984	21	Переход 530×8-300×8 исп. 02 ОСТ 34-42-665-1984
tee	troyniki	Тройники	ТР	ОСТ 34-42-674-84	21	Тройник 15х10-18х2 исп. 01 Ст20 ОСТ 34-42-674-1984
bend	otvody	Отводы	ОК	ОСТ 24.125.35-1989	19	Колено 90° 219х13 R260 исп. 01 ст.20 ОСТ 24.125.35-1989
section	dnishcha	Днища	ДН	ОСТ 24.125.21-1989	19	Донышко эллиптическое D108 H s5 ОСТ 24.125.21-1989
section	otvody	Отводы	ОК	ost-24-125-07-89	18	Отвод 108х12 ОСТ 24.125.07-1989
washer	shayby	Шайба усиленная		ГОСТ 11371-1978	18	Шайба 5 тип Л ГОСТ 11371-78
tee	troyniki	Тройники		sto-95-126-2013	17	Тройник 89х4-17х4 СТО 95.126-2013
disc	zaglushki	Заглушки	ЗП	ОСТ 34-42-666-1984	17	Заглушка 57х3 исп. 01 ст.20 ОСТ 34-42-666-1984
tee	troyniki	Тройники		ОСТ 24.125.48-1989	16	Тройник 133х8 исп. 01 15ГС ОСТ 24.125.48-1989
head	zaglushki	Заглушки	ЗР	ОСТ 34-42-667-1984	16	Заглушка 377х9 исп. 01 ст.20 ОСТ 34-42-667-1984
tee	troyniki	Тройники	ТП	ОСТ 24.125.48-89	16	Тройник 133х8 исп. 01 15ГС ОСТ 24.125.48-1989
section	otvody	Отводы	ОГ	ОСТ 34.10.418-1990	15	Отвод 426х12-325х10 R325 исп. 10 08Х18Н10Т ОСТ 34.10.418-1990
reducer	perekhody	Переходы		ОСТ 24.125.08-89	15	Переход 14×2 ОСТ 24.125.08-1989
bend	otvody	Отводы	ОК	sto-79814898-113-2009	14	Отвод 10х2 СТО 79814898.113-2009
flange	flancy-plosk	Фланцы		ОСТ 34.10.425-90	14	Фланец ФП DN03 ОСТ 34.10.425-1990
section	otvody	Отводы	ОГ	ОСТ 34-42-661-1984	14	Отвод 325х12 R300 исп.  ст.20 ОСТ 34-42-661-1984
stub	zaglushki	Заглушки	ББ	ОСТ 24.125.57-1989	14	Бобышка исп. 01 D34 S8.5 ст.20 ОСТ 24.125.57-1989
tee	troyniki	Тройники	ТР	ОСТ 24.125.17-1989	14	Тройник 89×5 ОСТ 24.125.17-1989
reducer	perekhody	Переходы	ПС	sto-79814898-115-2009	14	Переход 76х4.5-38х3.0 исп. 01 08Х18Н10Т СТО 79814898.115-2009
reducer	perekhody	Переходы		sto-318-01	13	Переход 28×5-16×4 исп. 01 СТО 318.01-2009
reducer	perekhody	Переходы		ОСТ 34-10-423-90	13	Переход 15×2-10×2 ОСТ 34.10.423-1990
section	otvody	Отводы	ОГ	sto-95-115-2013	12	Отвод 25х2 СТО 95.115-2013
nut	gayki	Гайка шестигранная		ГОСТ 10605-1994	12	Гайка M52 8.8 ГОСТ 10605-94
nut	gayki	Гайка шестигранная низкая		ГОСТ 10607-1994	12	Гайка M52 8.8 ГОСТ 10607-94
section	opory-nepodv	Опоры трубопроводов		ОСТ 36-17-85	12	Опора неподвижная хомутовая DN50 ОСТ 36-17-85
section	armatura-zadvizhki	Арматура		ГОСТ 33257-2015	12	Задвижка клиновая стальная DN50 PN1.6 МПа
section	armatura-krany	Арматура		ГОСТ 33257-2015	12	Кран шаровой полнопроходный DN15 PN1.6 МПа
bend	otvody	Отводы	ОК	СТО 79814898.111-2009	11	Отвод 57х3 СТО 79814898.111-2009
tee	troyniki	Тройники		ОСТ 24.125.49-1989	11	Тройник 133х8-108х8 исп. 01 15ГС ОСТ 24.125.49-1989
section	opory-skolz	Опоры трубопроводов		ОСТ 36-17-85	11	Опора скользящая DN50 ОСТ 36-17-85
flange	flancy-plosk	Фланцы		gost-12820-1980	10	Фланец ФП DN15 ГОСТ 12820-1980
reducer	tochenye	Точёные		ОСТ 34-42-664-84	10	Переход 20-14 исп. 1 ОСТ 34-42-664-84
tee	troyniki	Тройники	ТР	ГОСТ 17376-2001	10	Тройник 21.3х2-15х2 ГОСТ 17376-2001
tee	troyniki	Тройники	ТП	ОСТ 24.125.49-89	10	Тройник 133х8-108х8 исп. 01 15ГС ОСТ 24.125.49-1989
section	otvody	Отводы	ОК	ost-24-125-03-89	9	Отвод 25х3 ОСТ 24.125.03-1989
section	opory-pruzh	Опоры трубопроводов		ОСТ 36-17-85	9	Опора пружинная DN50 ОСТ 36-17-85
section	armatura-klapany	Арматура		ГОСТ 33257-2015	9	Клапан обратный подъёмный DN15 PN1.6 МПа
tee	troyniki	Тройники	ТР	ОСТ 34.10.510-90	9	Тройник 377×6 ОСТ 34.10.510-1990
reducer	perekhody	Переходы		ost-34-10-424-90	8	Переход 377×14-273×12 ОСТ 34.10.424-1990
tee	troyniki	Тройники	ТР	СЕРИЯ 4.903-10	8	Тройник 120х7-700х7 Dy700 СЕРИЯ 4.903-2010
tee	troyniki	Тройники		ОСТ 34-42-673-1984	7	Тройник 14х2 исп. 01 ст.20 ОСТ 34-42-673-1984
tee	troyniki	Тройники	ТР	ОСТ 34-42-673-84	7	Тройник 14х2 исп. 01 Ст20 ОСТ 34-42-673-1984
section	otvody	Отводы	ОГ	СТО СРО-П 60542948.00011-2013	7	Колено гнутое 25х2 исп. 2 СТО СРО-П 60542948.00011-2013
tee	troyniki	Тройники	ТР	ost-34-10-763-97	6	Тройник 1020×14 ОСТ 34.10.763-1997
reducer	perekhody	Переходы		ost-34-10-754-97	6	Переход 18×2-14×2 ОСТ 34.10.754-1997
tee	troyniki	Тройники		ОСТ 34-42-676-1984	6	Тройник 159х7-89х3.5 исп. 13 ст.20 ОСТ 34-42-676-1984
stub	zaglushki	Заглушки	ШТ	ОСТ 24.125.11-1989	6	Штуцер 14х2.0 исп. 01 08Х18Н10Т ОСТ 24.125.11-1989
tee	troyniki	Тройники	ТР	ОСТ 24.125.18-1989	6	Тройник 133×11 ОСТ 24.125.18-1989
flange	flancy-plosk	Фланцы	ФП	ost-24-125-24-1989	6	Фланец 57х5.5 исп. 05 08Х18Н10Т ОСТ 24.125.24-1989
tee	troyniki	Тройники		ost-34-10-432-1990	5	Тройник 14х2 ОСТ 34.10.432-1990
stub	zaglushki	Заглушки	ББ	ОСТ 24.125.22-89	5	Бобышка 20х1.5 ОСТ 24.125.22-1989
disc	zaglushki	Заглушки	ПР	ОСТ 24.125.23-89	5	Пробка 1-20х1.5 ОСТ 24.125.23-1989
flange	flancy	Фланцы		ОСТ 24.125.26-89	5	Фланец ОК DN20 ОСТ 24.125.26-1989
tee	troyniki	Тройники	ТР	ost-34-10-432-90	5	Тройник 14х2 исп. 01 08Х18Н10Т ОСТ 34.10.432-1990
tee	troyniki	Тройники	ТР	ost-34-10-510-90	4	Тройник 200х50-128х50 ОСТ 34.10.510-1990
tee	troyniki	Тройники		ost-34-42-676-1984	4	Тройник 108х4 ОСТ 34-42-676-1984
bend	otvody	Отводы	ОК	ОСТ 34.10.418-1990	3	Отвод 60° 375х19 исп. 19 08Х18Н10Т ОСТ 34.10.418-1990
section	otvody	Отводы	ОК	ost-34-10-699-97	2	Отвод 219х8 ОСТ 34.10.699-1997
reducer	perekhody	Переходы		ost-34-10-423-90	2	Переход 25×3 ОСТ 34.10.423-1990
tee	troyniki	Тройники		ost-34-42-675-1984	2	Тройник 1420х14 Dy1400 исп. 43 ст.20 ОСТ 34-42-675-1984
tee	troyniki	Тройники	ТР	ost-34-10-765-97	1	Тройник 133х4-80х3.5 ОСТ 34.10.765-1997
blind	zaglushki	Заглушки	ЗФ	gost-22815-1983	1	Заглушка фланцевая 3-32 ГОСТ 22815-1983
tee	troyniki	Тройники	ТР	ОСТ 34-10-765-97	1	Тройник 1220×14 ОСТ 34.10.765-1997
reducer	perekhody	Переходы	ПС	ОСТ 34.10.422-1990	1	Переход 76х4.5-38х3 исп. 01 08Х18Н10Т ОСТ 34.10.422-1990
reducer	perekhody	Переходы	ПК	ОСТ 34.10.700-1997	1	Переход концентрический 45×2.5-32×2 ОСТ 34.10.700-1997
reducer	perekhody	Переходы	ПЭ	ОСТ 34.10.700-1997	1	Переход эксцентрический 45×2.5-32×2.5 ОСТ 34.10.700-1997
