description;cnt;example
Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.;12;https://prom-en.forgotaboutdre.ru/catalog/opory/opory-nepodv/opora-nepodvizhnaya-homutovaya-dn100-ost-36-17-85/
Кран шаровой полнопроходный стальной. Поставка под заказ.;12;https://prom-en.forgotaboutdre.ru/catalog/armatura/armatura-krany/kran-sharovoy-polnoprohodnyy-dn100-pn4-0-mpa/
Клапан обратный подъёмный стальной. Поставка под заказ.;12;https://prom-en.forgotaboutdre.ru/catalog/armatura/armatura-klapany/klapan-obratnyy-podemnyy-dn100-pn2-5-mpa/
Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.;12;https://prom-en.forgotaboutdre.ru/catalog/armatura/armatura-zadvizhki/zadvizhka-klinovaya-stalnaya-dn100-pn1-6-mpa/
Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.;11;https://prom-en.forgotaboutdre.ru/catalog/opory/opory-skolz/opora-skolzyaschaya-dn100-ost-36-17-85/
Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.;9;https://prom-en.forgotaboutdre.ru/catalog/opory/opory-pruzh/opora-pruzhinnaya-dn100-ost-36-17-85/
Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 426 мм. Высота эллиптической части H 106 мм. Высота борта h1 25 мм. Толщина стенки s…;7;https://prom-en.forgotaboutdre.ru/catalog/sdt/dnishcha/dnische-ellipticheskoe-d426-h-s14-gost-6533-1978/
Крепёж по ГОСТ 6402-1970. Резьба M30.;4;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-30-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M27.;4;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-27-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M24.;4;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-24-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M18.;4;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/seriya/gost-6402-1970/
Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 480 мм. Высота эллиптической части H 120 мм. Высота борта h1 25 мм. Толщина стенки s…;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/dnishcha/dnische-ellipticheskoe-d480-h-s10-gost-6533-1978/
Труба по ГОСТ 30732-2020. С теплоизоляцией (ППУ). Тип ППУ. DN 125. Наружный диаметр 133 мм. Толщина стенки 4.5 мм. Теоретическая масса 14.26 кг/м. Технология…;3;https://prom-en.forgotaboutdre.ru/catalog/izolyatsiya/izolyatsiya-troyniki/seriya/gost-30732-2020/
Отвод по ОСТ 34.10.418-1990. Угол 45°. DN 125. Наружный диаметр 133 мм. Толщина стенки 7 мм. Исполнение 25. Марка стали 12Х18Н10Т.;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-133h7-ost-34-10-418-1990/
Крепёж по ГОСТ 6402-1970. Резьба M6.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-6-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M4.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-4-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M36.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-36-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M22.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-22-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M20.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-20-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M2.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-2-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M16.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-16-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M14.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-14-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M12.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-12-tip-l-gost-6402-70/
Крепёж по ГОСТ 6402-1970. Резьба M10.;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/shayba-10-tip-l-gost-6402-70/
Изделие по ОСТ 24.125.24-1989. Тип: ФП. DN 100. PN 10 МПа. Исполнение 23.;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-108h7-0-isp-23-08h18n10t-ost-24-125-24-1989-2/
Изделие по ГОСТ 33259-2015. Тип: 11. DN 150. PN 1 МПа. Исполнение 1.;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-01/seriya/gost-33259-2015/
Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 400 мм. Высота эллиптической части H 100 мм. Высота борта h1 25 мм. Толщина стенки s…;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/dnishcha/dnische-ellipticheskoe-d400-h-s12-gost-6533-1978/
Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 1000 мм. Высота эллиптической части H 200 мм. Высота борта h1 25 мм. Толщина стенки s…;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/dnishcha/dnische-ellipticheskoe-d1000-h-s10-gost-6533-1978/
Труба по ГОСТ 8734-75. Бесшовная. Тип БШ. DN 40. Наружный диаметр 48 мм. Толщина стенки 10 мм. Теоретическая масса 9.37 кг/м. Технология…;2;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-bsh/seriya/gost-8734-1975/
Труба по ГОСТ 8732-78. Бесшовная. Тип БШ. DN 150. Наружный диаметр 168 мм. Толщина стенки 40 мм. Теоретическая масса 126.27 кг/м. Технология…;2;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-bsh/seriya/gost-8732-1978/
Труба по ГОСТ 3262-75. Водогазопроводная. Тип ВГП. DN 50. Наружный диаметр 60.3 мм. Толщина стенки 3 мм. Теоретическая масса 4.24 кг/м. Марка стали Ст3сп…;2;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-vgp/seriya/gost-3262-1975/
Труба по ГОСТ 10705-80. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 168 мм. Толщина стенки 6 мм. Теоретическая масса 23.97 кг/м. Технология…;2;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-es/seriya/gost-10705-1980/
Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 400. Наружный диаметр 426 мм. Толщина стенки 9 мм. Теоретическая масса 92.55 кг/м. Технология…;2;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-es/seriya/gost-10704-1991/
Тройник равнопроходный по СТО 79814898.125-2009. Тип: ТС. DN 500. Размеры 530х8 мм. DN отвода 400. Исполнение 2. Марка стали 08Х18Н10Т. Условное обозначение…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/troynik-530h8-402h8-08h18n10t-sto-79814898-125-2009/
Тройник равнопроходный по ОСТ 34.10.511-1990. Тип: ТП. DN 350. Размеры 377х6 мм. DN отвода 250. PN 350 МПа. Исполнение 48. Марка стали 08Х18Н10Т.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-34-10-511-1990/
Тройник равнопроходный по ОСТ 34.10.432-1990. Тип: ТР. DN 20. Размеры 25х3 мм. Исполнение 03. Марка стали 08Х18Н10Т. Масса 0.13 кг.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-34-10-432-1990/
Тройник равнопроходный по ОСТ 34-42-676-1984. Тип: ТП. DN 250. Размеры 273х11 мм. Исполнение 30. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-34-42-676-1984/
Тройник равнопроходный по ОСТ 34-42-675-1984. Тип: ТР. DN 23. Размеры 820х14 мм. Исполнение 23. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-34-42-675-1984/
Тройник равнопроходный по ОСТ 34-42-674-1984. Тип: ТП. DN 65. Размеры 32х2 мм. Исполнение 19. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-34-42-674-1984/
Тройник равнопроходный по ОСТ 34-42-673-1984. Тип: ТР. DN 25. Размеры 32х2 мм. PN 4 МПа. Исполнение 04. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-34-42-673-1984/
Тройник равнопроходный по ОСТ 24.125.49-1989. Тип: ТП. DN 400. Размеры 426х24 мм. DN отвода 300. PN 11.77 МПа. Исполнение 05. Марка стали 15ГС. Масса 364 кг.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-24-125-49-1989/
Тройник равнопроходный по ОСТ 24.125.48-1989. Тип: ТР. DN 300. Размеры 325х19 мм. PN 11.77 МПа. Исполнение 05. Марка стали 15ГС. Масса 180 кг.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-24-125-48-1989/
Тройник равнопроходный по ОСТ 24.125.18-1989. Тип: ТР. DN 200. Размеры 219х12 мм. Исполнение 2. Марка стали 08Х18Н10Т. Условное обозначение: 219х12.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-24-125-18-1989/
Тройник равнопроходный по ОСТ 24.125.17-1989. Тип: ТР. DN 150. Размеры 159х9 мм. Исполнение 2. Марка стали 08Х18Н10Т. Условное обозначение: 159х9.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/ost-24-125-17-1989/
Тройник переходной по СТО 95.126-2013. Тип: ТС. DN 500. Размеры 530х8-16х8 мм. DN отвода 16. Исполнение 2. Марка стали 08Х18Н10Т. Условное обозначение…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/sto-95-126-2013/
Тройник переходной по ГОСТ 22822-1983. Тип: ТП. DN 100. Размеры 114.3х5.7-42.4х3.6 мм. DN отвода 32. PN 10 МПа. Исполнение 1. Марка стали 09Г2С. Условное…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/gost-22822-1983/
Тройник переходной по ГОСТ 22801-1983. Тип: ТР. DN 80. Размеры 101.6х5.4-42.4х3.6 мм. DN отвода 32. Исполнение 3. Марка стали 09Г2С. Условное обозначение…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/gost-22801-1983/
Тройник переходной по ГОСТ 17376-2001. Тип: ТР. DN 125. Размеры 139.7х4-76.1х2.9 мм. DN отвода 65. Исполнение 1. Марка стали 09Г2С. Масса 3.4 кг. Условное…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/gost-17376-2001/
Переход эксцентрический по ОСТ 34.10.424-1990. Тип: ПЭ. Ду 600×500. Малый конец 530×8 мм. Сталь аустенитная 08Х18Н10Т и аналоги.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-500-530-8-ost-34-10-424-1990-3/
Переход эксцентрический по ОСТ 34.10.424-1990. Тип: ПЭ. Ду 600×400. Малый конец 426×8 мм. Сталь аустенитная 08Х18Н10Т и аналоги.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-400-426-8-ost-34-10-424-1990-3/
Переход эксцентрический по ОСТ 34.10.424-1990. Тип: ПЭ. Ду 600×350. Малый конец 377×6 мм. Сталь аустенитная 08Х18Н10Т и аналоги.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-350-377-6-ost-34-10-424-1990-3/
Переход эксцентрический по ОСТ 34.10.424-1990. Тип: ПЭ. Ду 200×150. Малый конец 159×6 мм. Сталь аустенитная 08Х18Н10Т и аналоги.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-200-150-159-6-ost-34-10-424-1990-2/
Переход точеный по ГОСТ 22826-83. Тип: ПТ. Исполнение 4. DN 100. DN ответвления 50. Наружные диаметры концов 180х102 мм. Марка стали 09Г2С. Условное…;2;https://prom-en.forgotaboutdre.ru/catalog/tochenye/perehod-tochenyy-isp-4-180h102-09g2s-gost-22826-1983/
Переход концентрический по СТО СРО-П 60542948.00015-2013. Тип: ПС. DN 900. DN1 500. Исполнение 02. Размеры 920х10-530х8 мм. Марка стали 08Х18Н10Т. Условное…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-920h10-530h8-isp-02-sto-sro-p-60542948-00015-2013/
Переход концентрический по СТО 79814898.115-2009. Тип: ПС. Исполнение 11. Марка стали 08Х18Н10Т.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-150h150-isp-11-sto-79814898-115-2009/
Переход концентрический по СТО 79814898.110-2009. Тип: ОК. DN 600.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-630x12-0-sto-79814898-110-2009/
Переход концентрический по СТО 79814898.110-2009. Тип: ОК. DN 250.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-273x11-0-sto-79814898-110-2009/
Переход концентрический по СТО 79814898.110-2009. Тип: ОК. DN 25.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-14x2-0-sto-79814898-110-2009/
Переход концентрический по СТО 79814898.110-2009. Тип: ОК. DN 16.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-530x8-0-sto-79814898-110-2009/
Переход концентрический по ОСТ 34.10.700-1997. Тип: ПК. DN 150. DN1 125. Размеры 159х5-133х4 мм. Условное обозначение: К-159х5-133х4.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-koncentricheskiy-159-5-133-4-ost-34-10-700-1997/
Переход концентрический по ОСТ 34.10.424-1990. Тип: ПК. Ду 600×500. Малый конец 530×8 мм. Сталь аустенитная 08Х18Н10Т и аналоги.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-500-530-8-ost-34-10-424-1990-2/
Переход концентрический по ОСТ 34.10.424-1990. Тип: ПК. Ду 600×400. Малый конец 426×8 мм. Сталь аустенитная 08Х18Н10Т и аналоги.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-400-426-8-ost-34-10-424-1990-2/
Переход концентрический по ОСТ 34.10.424-1990. Тип: ПК. Ду 600×350. Малый конец 377×6 мм. Сталь аустенитная 08Х18Н10Т и аналоги.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-350-377-6-ost-34-10-424-1990-2/
Переход концентрический по ОСТ 34.10.423-1990. Тип: ПК. DN 28. DN1 25.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-dn28-dn25-ost-34-10-423-1990-2/
Переход концентрический по ОСТ 34.10.423-1990. Тип: ПК. DN 19. DN1 20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-dn19-dn20-ost-34-10-423-1990-2/
Переход концентрический по ОСТ 34.10.423-1990. Тип: ПК. DN 13. DN1 15.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-dn13-dn15-ost-34-10-423-1990-2/
Переход концентрический по ОСТ 34.10.422-1990. Тип: ПС. DN 100. Исполнение 05. Марка стали 08Х18Н10Т. Масса 1.15 кг.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-108h5-108h5-ost-34-10-422-1990/
Переход концентрический по ОСТ 34-42-665-1984. Тип: ПС. DN 900. DN1 600. Исполнение 58. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-920h10-630h8-isp-58-st-20-ost-34-42-665-1984/
Переход концентрический по ГОСТ 17378-2001. Тип: ПК. DN 150. DN1 50. Размеры 168х10-57х5 мм. L=75 мм. Исполнение 1. Марка стали 08Х18Н10Т. Масса 3.3 кг…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-168h10-50h5-gost-17378-2001/
Отвод по сто-79814898-111-2009. Угол 90°. DN 200. Наружный диаметр 219 мм. Толщина стенки 11 мм. Исполнение 1. Масса расчётная.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-219h11-sto-79814898-111-2009-2/
Отвод по СТО СРО-П 60542948.00011-2013. DN 40. Наружный диаметр 45 мм. Толщина стенки 2.5 мм. Исполнение 2. Марка стали 08Х18Н10Т.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/koleno-gnutoe-45h2-5-isp-2-sto-sro-p-60542948-00011-2013/
Отвод по СТО 95.115-2013. Наружный диаметр 57 мм. Толщина стенки 4 мм. Исполнение 2. Марка стали 08Х18Н10Т.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-57h4-sto-95-115-2013/
Отвод по СТО 79814898.113-2009. Угол 90°. DN 65. Наружный диаметр 76 мм. Толщина стенки 4.5 мм. Исполнение 65. Марка стали 08Х18Н10Т.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-76h4-5-sto-79814898-113-2009/
Отвод по СТО 321.04-2009. Угол 90°. DN 200. Наружный диаметр 273 мм. Толщина стенки 31 мм. Исполнение 03. PN 37.27 МПа. Температура 280°C. 37.27 МПа при…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-90-273h31-isp-03-sto-321-04/
Отвод по СТО 321.04-2009. Угол 60°. DN 600. Наружный диаметр 650 мм. Толщина стенки 50 мм. Исполнение 22. PN 4.31 МПа. Температура 340°C. 4.31 МПа при 340°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-60-650h50-isp-22-sto-321-04/
Отвод по СТО 321.04-2009. Угол 45°. DN 600. Наружный диаметр 650 мм. Толщина стенки 50 мм. Исполнение 21. PN 4.31 МПа. Температура 340°C. 4.31 МПа при 340°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-45-650h50-isp-21-sto-321-04/
Отвод по СТО 321.04-2009. Угол 30°. DN 600. Наружный диаметр 650 мм. Толщина стенки 50 мм. Исполнение 20. PN 4.31 МПа. Температура 340°C. 4.31 МПа при 340°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-30-650h50-isp-20-sto-321-04/
Отвод по СТО 321.03-2009. Угол 90°. DN 250. Наружный диаметр 273 мм. Толщина стенки 1 мм. Исполнение 100. PN 3.92 МПа. Температура 200°C. 3.92 МПа при 200°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-90-273h1-isp-100-sto-321-03/
Отвод по СТО 321.03-2009. Угол 60°. DN 250. Наружный диаметр 273 мм. Толщина стенки 1 мм. Исполнение 099. PN 3.92 МПа. Температура 200°C. 3.92 МПа при 200°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-60-273h1-isp-099-sto-321-03/
Отвод по СТО 321.03-2009. Угол 45°. DN 250. Наружный диаметр 273 мм. Толщина стенки 1 мм. Исполнение 098. PN 3.92 МПа. Температура 200°C. 3.92 МПа при 200°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-45-273h1-isp-098-sto-321-03/
Отвод по СТО 321.03-2009. Угол 30°. DN 250. Наружный диаметр 273 мм. Толщина стенки 1 мм. Исполнение 097. PN 3.92 МПа. Температура 200°C. 3.92 МПа при 200°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvody-30-273h1-isp-097-sto-321-03/
Отвод по СТО 321.02-2009. Угол 90°. DN 100. Наружный диаметр 108 мм. Толщина стенки 8 мм. Исполнение 055. PN 3.92 МПа. Температура 450°C. 3.92 МПа при 450°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-02-90-108h8-isp-055-sto-321-02/
