title;cnt;example
Переход 630×8-530×8 ОСТ 34.10.424-1990 — Промышленная Энергетика;5;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-500-530-8-ost-34-10-424-1990-2/
Переход 920×10-920×10 ОСТ 34.10.424-1990 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-1000-900-920-10-ost-34-10-424-1990-2/
Переход 89×5-89×5 ОСТ 34.10.422-1990 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-89h5-89h5-ost-34-10-422-1990-2/
Переход 630×8-426×8 ОСТ 34.10.424-1990 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-400-426-8-ost-34-10-424-1990-2/
Переход 630×6-377×6 ОСТ 34.10.424-1990 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-350-377-6-ost-34-10-424-1990-2/
Переход 159×6-159×6 ОСТ 34.10.422-1990 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-159h6-159h6-ost-34-10-422-1990-2/
Переход 133×6-133×6 ОСТ 34.10.422-1990 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-133h6-133h6-ost-34-10-422-1990-2/
Фланец ОК DN150 ОСТ 24.125.25-1989 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn150-ost-24-125-25-1989-2/
Фланец ОК DN125 ОСТ 24.125.25-1989 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn125-ost-24-125-25-1989-2/
Фланец ОК DN100 ОСТ 24.125.25-1989 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn100-ost-24-125-25-1989-2/
Переход 920×10-530×8 ОСТ 34.10.424-1990 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-900-500-920-10-530-8-ost-34-10-424-1990-2/
Переход 820×8-530×8 ОСТ 34.10.424-1990 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-800-500-530-8-ost-34-10-424-1990-2/
Переход 820×10-426×8 ОСТ 34.10.424-1990 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-800-400-820-10-426-8-ost-34-10-424-1990-2/
Переход 720×8-630×8 ОСТ 34.10.424-1990 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-700-600-630-8-ost-34-10-424-1990-2/
Переход 720×10-377×6 ОСТ 34.10.424-1990 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-700-350-720-10-377-6-ost-34-10-424-1990-2/
