h1;cnt;example
Болт;4606;https://prom-en.forgotaboutdre.ru/catalog/krepezh/bolty/bolt-m1-6h10-10-9-gost-7805-70/
Шпилька;1780;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shpilki/seriya/gost-10494-1980/
Тройник;1161;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/gost-17376-2001/
Труба э/с;733;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-es/truba-e-s-1020h10-gost-10704-1991/
Труба б/ш;700;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-bsh/truba-b-sh-102h10-gost-8732-1978/
Переход;640;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-10-6-14-2-0-10-2-0-ost-24-125-08-1989/
Каталог;553;https://prom-en.forgotaboutdre.ru/author/admin/
Отвод 90°;495;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-108h5-sto-79814898-111-2009/
Отвод 45°;481;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-133h7-ost-34-10-418-1990/
Труба ППУ;441;https://prom-en.forgotaboutdre.ru/catalog/izolyatsiya/izolyatsiya-truby/truba-ppu-1020h10-gost-30732-2020/
Отвод 60°;432;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-133h7-ost-34-10-418-1990-3/
Отвод 180°;422;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-180-102h10-gost-17375-2001/
Фланец трубопроводный;396;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-01/flanec-10-01-1-b-iv-gost-33259-2015-2/
Днище эллиптическое D;206;https://prom-en.forgotaboutdre.ru/catalog/sdt/dnishcha/dnische-ellipticheskoe-d100-h-s25-gost-6533-1978/
Отвод;166;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-1020h10-530h8-isp-32-08h18n10t-ost-34-10-420-1990/
Отвод гнутый 60°;157;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-60-108h14-isp-189-pn-13-73-12h1mf-sto-321-05-2009/
Отвод гнутый 90°;155;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-90-108h14-isp-190-pn-13-73-12h1mf-sto-321-05-2009/
Отвод гнутый 45°;153;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-45-108h14-isp-188-pn-13-73-12h1mf-sto-321-05-2009/
Гайка;151;https://prom-en.forgotaboutdre.ru/catalog/krepezh/gayki/gayka-m1-4-gost-5916-70/
Тройник переходной;140;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/troynik-perehodnoy-1-100h32-gost-22822-1983/
Отвод гнутый 15°;136;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-15-108h14-isp-186-pn-13-73-12h1mf-sto-321-05-2009/
Отвод гнутый 30°;135;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-30-108h14-isp-187-pn-13-73-12h1mf-sto-321-05-2009/
Винт;135;https://prom-en.forgotaboutdre.ru/catalog/krepezh/vinty/seriya/gost-11738-1984/
Фланец ФП;123;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn03-ost-34-10-425-1990/
Заглушка;108;https://prom-en.forgotaboutdre.ru/catalog/sdt/zaglushki/seriya/gost-17379-2001/
Заглушка эллиптическая;93;https://prom-en.forgotaboutdre.ru/catalog/sdt/zaglushki/zaglushka-1-108h8-gost-17379-2001/
Шайба;85;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/seriya/gost-11371-1978/
Штуцер;82;https://prom-en.forgotaboutdre.ru/catalog/sdt/zaglushki/seriya/ost-24-125-11-1989/
Фланец;82;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-01/seriya/gost-33259-2015/
Фланец ФВ;75;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-vorot/flanec-fv-dn100-pn10-gost-12821-1980/
Тройник П;70;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/troynik-p-108h4-09g2s-sto-95-127-2013/
